Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave,Year,Month,Day,Location_Galápagos,Location_Great Barrier Reef,Location_Hawaiian Islands,Location_Maldives,Location_Red Sea,Location_South China Sea
20.0248,38.4931,29.47,8.107,1.0,106,0,2015,1,1,False,False,False,False,True,False
-18.2988,147.7782,29.65,8.004,2.0,116,0,2015,1,7,False,True,False,False,False,False
14.9768,-75.0233,28.86,7.947,2.0,90,0,2015,1,14,False,False,False,False,False,False
-18.3152,147.6486,28.97,7.995,1.0,94,0,2015,1,20,False,True,False,False,False,False
-0.8805,-90.9769,28.6,7.977,1.0,110,0,2015,1,27,True,False,False,False,False,False
20.0055,38.4425,29.06,8.009,0.0,109,0,2015,2,2,False,False,False,False,True,False
9.9699,115.0926,28.48,7.998,1.0,132,0,2015,2,9,False,False,False,False,False,True
19.939,38.5104,25.56,8.042,0.0,152,0,2015,2,16,False,False,False,False,True,False
3.2397,73.2293,28.33,8.038,0.0,99,0,2015,2,22,False,False,False,True,False,False
14.964,-75.023,30.09,8.035,2.0,77,1,2015,3,1,False,False,False,False,False,False
-0.9376,-90.9849,27.48,8.101,1.0,145,0,2015,3,7,True,False,False,False,False,False
15.0466,-75.042,28.04,8.076,2.0,139,0,2015,3,14,False,False,False,False,False,False
-0.9778,-90.9749,26.84,8.023,1.0,148,0,2015,3,21,True,False,False,False,False,False
10.0678,114.9964,30.01,8.038,2.0,95,1,2015,3,27,False,False,False,False,False,True
20.0181,38.5769,28.45,8.129,2.0,81,0,2015,4,3,False,False,False,False,True,False
10.0411,115.0044,28.05,8.064,1.0,94,0,2015,4,9,False,False,False,False,False,True
14.989,-74.9821,30.72,7.98,2.0,85,1,2015,4,16,False,False,False,False,False,False
14.9749,-74.9542,28.99,8.014,1.0,122,0,2015,4,22,False,False,False,False,False,False
15.0049,-74.9516,27.45,8.055,0.0,124,0,2015,4,29,False,False,False,False,False,False
3.1296,73.2355,28.89,8.042,0.0,112,0,2015,5,6,False,False,False,True,False,False
-18.3579,147.6782,27.99,8.02,1.0,122,0,2015,5,12,False,True,False,False,False,False
19.917,-155.4885,28.76,8.058,0.0,116,0,2015,5,19,False,False,True,False,False,False
-18.383,147.6979,28.59,8.171,1.0,116,0,2015,5,25,False,True,False,False,False,False
-18.272,147.6975,26.75,8.142,1.0,148,0,2015,6,1,False,True,False,False,False,False
20.0396,38.4545,30.6,7.938,1.0,107,1,2015,6,8,False,False,False,False,True,False
20.1095,38.4505,27.65,8.072,1.0,120,0,2015,6,14,False,False,False,False,True,False
19.8193,-155.5794,26.91,8.106,0.0,122,0,2015,6,21,False,False,True,False,False,False
-0.8763,-91.0048,28.02,8.1,2.0,106,0,2015,6,27,True,False,False,False,False,False
-0.9424,-90.9002,26.09,8.107,0.0,148,0,2015,7,4,True,False,False,False,False,False
3.2419,73.1589,26.52,8.116,2.0,144,0,2015,7,10,False,False,False,True,False,False
20.0125,38.5173,27.48,8.082,1.0,134,0,2015,7,17,False,False,False,False,True,False
-18.3228,147.7925,29.21,7.976,2.0,122,0,2015,7,24,False,True,False,False,False,False
3.1541,73.2601,30.24,7.974,0.0,117,1,2015,7,30,False,False,False,True,False,False
20.0206,38.5411,31.35,7.981,1.0,80,1,2015,8,6,False,False,False,False,True,False
9.9555,114.9592,28.38,8.069,0.0,125,0,2015,8,12,False,False,False,False,False,True
19.9382,-155.5821,30.68,7.993,0.0,138,1,2015,8,19,False,False,True,False,False,False
